person_id,connect_group_id,totalhadir,totalcg,engagementrate,posisi,msj,cgt,has_nij,gender,namagereja,statusgereja,namacg,categorycg,,,,
b29f4733a4a18c02bcabc5234abeb2a8,fcd3c258816194da174b1039ef1f64ce,1,12,8%,Member,,,f,2,,,CY.026,aog youth,,,,
bf5fd39b1e9387245db3184bbb4534a1,fcd3c258816194da174b1039ef221d99,3,5,60%,Member,,,f,1,,,ET.019,aog teens,,,,
bf5fd39b1e9387245db3184bbb4534a1,fcd3c258816194da174b1039ef218a7a,1,12,8%,Member,,,f,1,,,ET.013,aog teens,,,,
8c50da1ea5558b9404b91902f67530b6,fcd3c258816194da174b1039ef639b6c,4,11,36%,Simpatisan,,,f,2,,,C.210,family,,,,
8c50da1ea5558b9404b91902f6ac8f85,184d27e023229ace723af3581b4672db,3,11,27%,Member,,,f,2,,,B.095,family,,,,
9fef87586e7a60a7ba8bf44ba3eb11f0,9eeddf5e221240e8bfe8a26e1341b099,7,13,53%,Member,4,3,t,1,ROSC Singapore,local,A.008,family,,,,
97c337b34859a59b68f7472e6a4eba82,fcd3c258816194da174b1039ef22bed9,1,12,8%,Member,1,,t,2,ROSC Singapore,local,EY.110,aog youth,,,,
38f6ffdf07afbbfed8e9d80a203c4ec5,fcd3c258816194da174b1039ef630950,2,12,16%,Member,3,1,t,2,ROSC Singapore,local,C.193,family,,,,
7bb16cb9f300b3167e745fcf0d6741f9,9eeddf5e221240e8bfe8a26e1341b099,3,13,23%,Member,4,3,t,2,ROSC Singapore,local,A.008,family,,,,
1b4990e9f81d1300754bdb24bf420ff1,6546595fd68e24f535481dd785010921,9,14,64%,Member,2,2,t,2,ROSC Singapore,local,EY.029,aog youth,,,,
9d5c1e6bc2848f65af5b8d6211e5dfb9,fcd3c258816194da174b1039ef62ad3a,1,11,9%,Member,1,,t,1,GMS Yogyakarta,local,C.182,family,,,,
f3682bd52871066321866814dabaedf4,221e32553a9fe11fb53ec318c404631a,5,11,45%,Member,3,1,t,2,GMS Yogyakarta,local,WT.035,aog teens,,,,
8c50da1ea5558b9404b91902f6fdecde,ffc17a42681947b3bde8b3edd7af28ef,3,12,25%,Member,2,,t,1,GMS Tulungagung,local,SY.029,aog youth,,,,
fdba72a20b9b617250fb43760653f737,fcd3c258816194da174b1039ef74c7cf,8,12,66%,Member,1,,t,2,GMS Tulungagung,local,WY.017,aog youth,,,,
4f2bf7559073791159caa973f4673502,fcd3c258816194da174b1039ef1de713,2,11,18%,Simpatisan,,,f,2,GMS Tulungagung,local,CT.037,aog teens,,,,
3ecfeaa01399dc43cc110b52ad5f52c8,9653099ed9d2424aafb0791173827034,2,12,16%,Member,1,,t,2,GMS Tulungagung,local,A.022,family,,,,
63e0706646c77ec0af7ae40838099518,fcd3c258816194da174b1039ef5f2c5b,5,9,55%,Member,1,,f,1,GMS Tarakan,local,C.188,family,,,,
8532b72bf18d971821c0bae4c7f7cac4,fcd3c258816194da174b1039ef5f4c63,4,10,40%,Simpatisan,,,f,1,GMS Tangerang,local,C.159,family,,,,
78c9cc41f14856eee1301cd506e5b3e7,fcd3c258816194da174b1039ef62ab1b,9,12,75%,Member,3,3,t,1,GMS Tangerang,local,C.180,family,,,,
932c56475b1806f67062d462eb05b36e,fcd3c258816194da174b1039ef5f3dbb,11,12,91%,Member,2,,t,2,GMS Tangerang,local,C.121,family,,,,
4751a125e78848887d937781b3c809ea,aedb67b6c8d64e68a3def73fe681e2d1,10,12,83%,Member,,,f,2,GMS Tangerang,local,KV.041,kidz,,,,
bcc2a0f4015facfab145f456970962c4,fcd3c258816194da174b1039ef631ac7,5,10,50%,Member,2,1,t,2,GMS Tangerang,local,C.194,family,,,,
3a52aa709db770247a539b763ce5714f,f9ed7a4aae9f4dffaaee0121a427ea87,6,12,50%,Member,,,f,2,GMS Tangerang,local,SY.009,aog youth,,,,
8532b72bf18d971821c0bae4c78363dc,fcd3c258816194da174b1039ef5f4c63,9,10,90%,Simpatisan,,,f,2,GMS Tangerang,local,C.159,family,,,,
38f6ffdf07afbbfed8e9d80a20ccac0b,fcd3c258816194da174b1039ef72feb6,10,12,83%,Sponsor,3,1,t,2,GMS Tangerang,local,SY.032,aog youth,,,,
33b7d5115cec16c72827dd5e0f6e149d,fcd3c258816194da174b1039ef6265ed,5,11,45%,Member,2,,t,2,GMS Sydney,local,C.170,family,,,,
a350c96afa4f8d9a69f0abc525245821,b14688a89c4b138c447b4a3f9f05262f,8,11,72%,Member,3,,t,2,GMS Surabaya Barat,local,A.002,family,,,,
